Scopus-11185-Analyze-Year

"Your query : (TITLE-ABS-KEY(cosmic microwave background) AND ( LIMIT-TO ( DOCTYPE,""ar"" ) ) )"


Number of results : 11185

"YEAR",
"2023","119"
"2022","506"
"2021","534"
"2020","530"
"2019","465"
"2018","515"
"2017","404"
"2016","479"
"2015","466"
"2014","528"
"2013","457"
"2012","419"
"2011","408"
"2010","449"
"2009","465"
"2008","412"
"2007","379"
"2006","328"
"2005","357"
"2004","381"
"2003","330"
"2002","311"
"2001","270"
"2000","270"
"1999","209"
"1998","204"
"1997","184"
"1996","161"
"1995","110"
"1994","119"
"1993","103"
"1992","85"
"1991","54"
"1990","46"
"1989","16"
"1988","11"
"1987","7"
"1986","18"
"1985","7"
"1984","11"
"1983","2"
"1982","6"
"1981","3"
"1980","12"
"1979","6"
"1978","3"
"1977","1"
"1976","4"
"1975","2"
"1974","3"
"1973","2"
"1972","1"
"1970","1"
"1969","2"
"1968","2"
"1967","7"
"1966","1"
