Scopus-25610-Analyze-Year

"Your query : (TITLE-ABS-KEY(gravitational waves) AND ( LIMIT-TO ( DOCTYPE,""ar"" ) ) )"


Number of results : 25610

"YEAR",
"2023","500"
"2022","2015"
"2021","2073"
"2020","1794"
"2019","1599"
"2018","1495"
"2017","1201"
"2016","1010"
"2015","775"
"2014","816"
"2013","664"
"2012","614"
"2011","731"
"2010","795"
"2009","853"
"2008","692"
"2007","516"
"2006","545"
"2005","463"
"2004","476"
"2003","441"
"2002","402"
"2001","404"
"2000","433"
"1999","370"
"1998","344"
"1997","391"
"1996","314"
"1995","229"
"1994","253"
"1993","195"
"1992","185"
"1991","139"
"1990","148"
"1989","126"
"1988","119"
"1987","97"
"1986","91"
"1985","94"
"1984","95"
"1983","74"
"1982","86"
"1981","71"
"1980","77"
"1979","60"
"1978","70"
"1977","58"
"1976","76"
"1975","67"
"1974","65"
"1973","66"
"1972","59"
"1971","41"
"1970","36"
"1969","33"
"1968","37"
"1967","15"
"1966","10"
"1965","12"
"1964","9"
"1963","9"
"1962","10"
"1961","13"
"1960","14"
"1959","7"
"1958","7"
"1957","7"
"1956","2"
"1955","4"
"1953","1"
"1952","1"
"1951","1"
"1950","1"
"1946","1"
"1942","2"
"1939","2"
"1937","2"
"1935","1"
"1932","1"
"1930","1"
"1929","1"
"1924","1"
"1920","1"
"1913","1"
