Scopus-23806-Analyze-Year

"Your query : (TITLE-ABS-KEY(neutron star) AND ( LIMIT-TO ( DOCTYPE,""ar"" ) ) )"


Number of results : 23806

"YEAR",
"2023","250"
"2022","1358"
"2021","1356"
"2020","1293"
"2019","1317"
"2018","1171"
"2017","1049"
"2016","908"
"2015","885"
"2014","876"
"2013","795"
"2012","730"
"2011","762"
"2010","658"
"2009","668"
"2008","619"
"2007","682"
"2006","585"
"2005","593"
"2004","574"
"2003","535"
"2002","566"
"2001","581"
"2000","513"
"1999","494"
"1998","534"
"1997","434"
"1996","378"
"1995","264"
"1994","236"
"1993","197"
"1992","180"
"1991","208"
"1990","158"
"1989","98"
"1988","97"
"1987","82"
"1986","63"
"1985","63"
"1984","87"
"1983","76"
"1982","66"
"1981","68"
"1980","56"
"1979","43"
"1978","30"
"1977","61"
"1976","56"
"1975","52"
"1974","56"
"1973","45"
"1972","48"
"1971","41"
"1970","50"
"1969","34"
"1968","16"
"1967","14"
"1966","2"
"1965","14"
"1964","8"
"1963","2"
"1962","3"
"1961","3"
"1960","3"
"1959","9"
"1958","3"
"1957","1"
"1956","7"
"1955","7"
"1954","2"
"1953","4"
"1952","4"
"1951","5"
"1950","8"
"1949","6"
"1946","2"
"1939","4"
