Scopus-5593-Analyze-Year

"Your query : (TITLE-ABS-KEY(quark gluon plasma) AND ( LIMIT-TO ( DOCTYPE,""ar"" ) ) )"


Number of results : 5593

"YEAR",
"2023","52"
"2022","221"
"2021","279"
"2020","212"
"2019","270"
"2018","210"
"2017","258"
"2016","277"
"2015","211"
"2014","308"
"2013","252"
"2012","202"
"2011","296"
"2010","141"
"2009","182"
"2008","138"
"2007","135"
"2006","101"
"2005","127"
"2004","91"
"2003","113"
"2002","98"
"2001","118"
"2000","133"
"1999","108"
"1998","88"
"1997","100"
"1996","78"
"1995","80"
"1994","73"
"1993","76"
"1992","74"
"1991","85"
"1990","55"
"1989","71"
"1988","68"
"1987","52"
"1986","44"
"1985","45"
"1984","34"
"1983","23"
"1982","7"
"1981","1"
"1979","3"
"1978","1"
"1976","1"
"1975","1"
