Scopus-12657-Analyze-Year

"Your query : (TITLE-ABS-KEY(topological insulator) AND ( LIMIT-TO ( DOCTYPE,""ar"" ) ) )"


Number of results : 12657

"YEAR",
"2023","366"
"2022","1365"
"2021","1341"
"2020","1284"
"2019","1209"
"2018","1068"
"2017","1073"
"2016","1050"
"2015","988"
"2014","829"
"2013","707"
"2012","585"
"2011","352"
"2010","225"
"2009","61"
"2008","23"
"2007","17"
"2006","18"
"2005","10"
"2004","8"
"2003","9"
"2002","10"
"2001","8"
"2000","5"
"1999","5"
"1998","6"
"1997","6"
"1996","7"
"1995","3"
"1994","3"
"1993","1"
"1991","2"
"1990","2"
"1989","2"
"1988","3"
"1987","1"
"1986","1"
"1985","1"
"1982","1"
"1978","1"
"1973","1"
